X,Y
21.0,51.0
0.5,-0.5
0.5,-0.4470224555823006
0.5,-0.4005509253913361
0.5,-0.3597864252238234
0.5,-0.3240280917435492
0.5,-0.2926611325503261
0.5,-0.2651462560650427
0.5,-0.24101039949900466
0.5,-0.2198385954937081
0.5,-0.20126683759432518
0.5,-0.1849758218931121
0.5,-0.17068545724292516
0.5,-0.15815004965504187
0.5,-0.1471540780867232
0.5,-0.13750848899170684
0.5,-0.129047445925903
0.5,-0.12162547832432069
0.5,-0.11511498042819586
0.5,-0.10940401736141969
0.5,-0.10439440063617743
0.5,-0.1
0.45,-0.5
0.45,-0.4470224555823006
0.45,-0.4005509253913361
0.45,-0.3597864252238234
0.45,-0.3240280917435492
0.45,-0.2926611325503261
0.45,-0.2651462560650427
0.45,-0.24101039949900466
0.45,-0.2198385954937081
0.45,-0.20126683759432518
0.45,-0.1849758218931121
0.45,-0.17068545724292516
0.45,-0.15815004965504187
0.45,-0.1471540780867232
0.45,-0.13750848899170684
0.45,-0.129047445925903
0.45,-0.12162547832432069
0.45,-0.11511498042819586
0.45,-0.10940401736141969
0.45,-0.10439440063617743
0.45,-0.1
0.4,-0.5
0.4,-0.4470224555823006
0.4,-0.4005509253913361
0.4,-0.3597864252238234
0.4,-0.3240280917435492
0.4,-0.2926611325503261
0.4,-0.2651462560650427
0.4,-0.24101039949900466
0.4,-0.2198385954937081
0.4,-0.20126683759432518
0.4,-0.1849758218931121
0.4,-0.17068545724292516
0.4,-0.15815004965504187
0.4,-0.1471540780867232
0.4,-0.13750848899170684
0.4,-0.129047445925903
0.4,-0.12162547832432069
0.4,-0.11511498042819586
0.4,-0.10940401736141969
0.4,-0.10439440063617743
0.4,-0.1
0.35000000000000003,-0.5
0.35000000000000003,-0.4470224555823006
0.35000000000000003,-0.4005509253913361
0.35000000000000003,-0.3597864252238234
0.35000000000000003,-0.3240280917435492
0.35000000000000003,-0.2926611325503261
0.35000000000000003,-0.2651462560650427
0.35000000000000003,-0.24101039949900466
0.35000000000000003,-0.2198385954937081
0.35000000000000003,-0.20126683759432518
0.35000000000000003,-0.1849758218931121
0.35000000000000003,-0.17068545724292516
0.35000000000000003,-0.15815004965504187
0.35000000000000003,-0.1471540780867232
0.35000000000000003,-0.13750848899170684
0.35000000000000003,-0.129047445925903
0.35000000000000003,-0.12162547832432069
0.35000000000000003,-0.11511498042819586
0.35000000000000003,-0.10940401736141969
0.35000000000000003,-0.10439440063617743
0.35000000000000003,-0.1
0.30000000000000004,-0.5
0.30000000000000004,-0.4470224555823006
0.30000000000000004,-0.4005509253913361
0.30000000000000004,-0.3597864252238234
0.30000000000000004,-0.3240280917435492
0.30000000000000004,-0.2926611325503261
0.30000000000000004,-0.2651462560650427
0.30000000000000004,-0.24101039949900466
0.30000000000000004,-0.2198385954937081
0.30000000000000004,-0.20126683759432518
0.30000000000000004,-0.1849758218931121
0.30000000000000004,-0.17068545724292516
0.30000000000000004,-0.15815004965504187
0.30000000000000004,-0.1471540780867232
0.30000000000000004,-0.13750848899170684
0.30000000000000004,-0.129047445925903
0.30000000000000004,-0.12162547832432069
0.30000000000000004,-0.11511498042819586
0.30000000000000004,-0.10940401736141969
