 X,Y,Z,U,V,Vr,P,T,rho,Mach
     0.50000,    -0.44702,     0.00000,   659.65854,     0.00000,   659.65854,126849.33625,   299.65000,     1.47500,     1.90111
     0.45000,    -0.44702,     0.00000, -6319.98033,  1878.22222,  6593.16844,************,-41641.83465,   268.68711,         NaN
     0.40000,    -0.44702,     0.00000,-15071.51574,  3262.84313, 15420.65926,************,************,  -133.93710,         NaN
     0.35000,    -0.44702,     0.00000, 26988.97534, -4212.05941, 27315.67745,************,************,  -268.30693,         NaN
     0.30000,    -0.44702,     0.00000,************, 21821.05885,117412.34789,************,************,    69.43445,         NaN
     0.25000,    -0.44702,     0.00000,************, 21821.05885,117412.34789,************,************,    69.43445,         NaN
     0.20000,    -0.44702,     0.00000,************, 21821.05885,117412.34789,************,************,    69.43445,         NaN
     0.15000,    -0.44702,     0.00000,************, 40302.63772,235135.72245,************,************,    32.32976,         NaN
     0.10000,    -0.44702,     0.00000,335669.64316,-45644.77161,338758.84419,************,************,   -18.20345,         NaN
     0.05000,    -0.44702,     0.00000,-55408.45196, 11663.81928, 56622.79778,************,************,    99.64260,         NaN
    -0.00000,    -0.44702,     0.00000,-16450.67902,  4140.15341, 16963.65852,************,************,   451.29329,         NaN
    -0.04673,    -0.44457,     0.00000,-30064.11839,  6090.14126, 30674.76218,************,************,  1247.66550,         NaN
    -0.09294,    -0.43725,     0.00000, 44533.11053, -6135.30935, 44953.75350,************,************, -4173.90367,         NaN
    -0.13814,    -0.42514,     0.00000,-83278.53689, 17061.37724, 85008.26607,************,************, -3046.97480,         NaN
    -0.18182,    -0.40838,     0.00000,254387.93034,-49094.79928,259082.06888,************,************,  7108.21494,         NaN
    -0.22351,    -0.38713,     0.00000, 50171.80017, -7720.21245, 50762.30110,************,************,  2212.49291,         NaN
    -0.26275,    -0.36165,     0.00000,************,  6650.79846,150627.69100,************,************,  -422.29407,     4.13697
    -0.29912,    -0.33220,     0.00000, 25130.53367, -6439.60400, 25942.47911,************,************,   473.95610,         NaN
    -0.33220,    -0.29912,     0.00000, 11973.31741, -2628.63452, 12258.46847,************,************,   481.57930,         NaN
    -0.36165,    -0.26275,     0.00000,  6169.81783, -1528.81413,  6356.40816,************,-18711.60734,   443.10026,         NaN
    -0.38713,    -0.22351,     0.00000,-10919.40986,  -956.71681, 10961.24166,************,600606.10755,   400.47519,     0.70560
    -0.40838,    -0.18182,     0.00000, 15083.94830, -1025.58308, 15118.77366,************,************,   358.86914,         NaN
    -0.42514,    -0.13814,     0.00000, 39972.86826, -3359.38928, 40113.78433,************,************,   315.52220,         NaN
    -0.43725,    -0.09294,     0.00000, -8287.72207,   966.61479,  8343.90085,************,-92943.45608,   266.94531,         NaN
    -0.44457,    -0.04673,     0.00000, -3640.31459,   624.44402,  3693.48354,************,-15373.13416,   213.05294,         NaN
    -0.44702,     0.00000,     0.00000, -3107.59845,   677.29445,  3180.54962,************, -8224.91005,   158.04490,         NaN
    -0.44457,     0.04673,     0.00000,  -823.10352,   354.29296,   896.11545,************,  -592.65807,   111.07729,         NaN
    -0.43725,     0.09294,     0.00000,  8405.53931, -1748.01149,  8585.37333,************,-53457.83222,    72.60677,         NaN
    -0.42514,     0.13814,     0.00000, 11844.28523, -1725.68022, 11969.33853,************,************,   156.18897,         NaN
    -0.40838,     0.18182,     0.00000,  6861.35905, -1607.52170,  7047.15361,************,-36229.17401,   -89.48391,         NaN
    -0.38713,     0.22351,     0.00000, 14605.64932, -2517.84874, 14821.08479,************,************,  -141.98376,         NaN
    -0.36165,     0.26275,     0.00000, 16879.95370,   922.12954, 16905.12230,************,************,    -4.15486,         NaN
    -0.33220,     0.29912,     0.00000, -3540.40231,   526.68725,  3579.36418,************, -7009.22224,   -17.96792,         NaN
    -0.29912,     0.33220,     0.00000, 11153.20038,  -510.59505, 11164.88182,************,-99116.85490,   -14.55773,         NaN
    -0.26275,     0.36165,     0.00000, 16538.34183,  -722.36806, 16554.11025,************,************,    -7.63460,         NaN
    -0.22351,     0.38713,     0.00000,************, -5939.03448,455301.21016,************,************,    -0.16949,         NaN
    -0.18182,     0.40838,     0.00000, -2055.24895,   909.70715,  2247.57989,************, -3950.57345,     6.87779,         NaN
    -0.13814,     0.42514,     0.00000, -2024.75036,   672.57217,  2133.53400,************, -2435.69757,    15.03576,         NaN
    -0.09294,     0.43725,     0.00000, -2027.83723,   704.24196,  2146.64402,************, -4202.53559,    30.76621,         NaN
    -0.04673,     0.44457,     0.00000, -3281.57316,   958.46380,  3418.68034,************,-16319.61281,    37.24957,         NaN
     0.00000,     0.44702,     0.00000,-33059.72041,  6529.24949, 33698.31171,************,************,     8.47268,         NaN
     0.05000,     0.44702,     0.00000, 31484.62858, -5398.45286, 31944.09382,************,************,   -20.64736,         NaN
     0.10000,     0.44702,     0.00000, 34714.19879, -4582.47726, 35015.34943,************,************,   -13.44672,         NaN
     0.15000,     0.44702,     0.00000,-50655.49197,  7049.70251, 51143.69142,************,************,     8.63783,         NaN
     0.20000,     0.44702,     0.00000,-40257.38642,  7146.17534, 40886.73359,************,************,    15.47277,         NaN
     0.25000,     0.44702,     0.00000,-40257.38642,  7146.17534, 40886.73359,************,************,    15.47277,         NaN
     0.30000,     0.44702,     0.00000,-40257.38642,  7146.17534, 40886.73359,************,************,    15.47277,         NaN
     0.35000,     0.44702,     0.00000,  7629.45162, -1478.51369,  7771.39207,************,-49250.41083,  -200.37406,         NaN
     0.40000,     0.44702,     0.00000,-10012.59537,  1699.88115, 10155.86835,************,-78209.38098,   -15.54888,         NaN
     0.45000,     0.44702,     0.00000,-10022.70833,  1403.65316, 10120.51997,************,-68877.38812,   158.55044,         NaN
     0.50000,     0.44702,     0.00000,   659.65854,     0.00000,   659.65854,126849.33625,   299.65000,     1.47500,     1.90111
     0.50000,    -0.40055,     0.00000,   624.93967,     0.00000,   624.93967,124553.69500,   299.30000,     1.45000,     1.80210
     0.45000,    -0.40055,     0.00000, -6925.62041,  1982.10254,  7203.67604,************,-40884.89691,   270.53114,         NaN
     0.40000,    -0.40055,     0.00000,  8553.39949, -1203.23455,  8637.61635,************,************,   516.29510,         NaN
     0.35000,    -0.40055,     0.00000, 65173.25117,-12545.02235, 66369.64859,************,************,   120.91998,         NaN
     0.30000,    -0.40055,     0.00000, 11602.19592, -2207.31391, 11810.29994,************,************,     7.50570,         NaN
     0.25000,    -0.40055,     0.00000, 11602.19592, -2207.31391, 11810.29994,************,************,     7.50570,         NaN
     0.20000,    -0.40055,     0.00000, 11602.19592, -2207.31391, 11810.29994,************,************,     7.50570,         NaN
     0.15000,    -0.40055,     0.00000,-27578.73309,  5480.26006, 28117.96169,************,-90293.44316,     9.83604,         NaN
     0.10000,    -0.40055,     0.00000, 57681.26356,-12013.56863, 58919.04613,************,************,   -26.10108,         NaN
     0.05000,    -0.40055,     0.00000, 12030.70328, -2827.16917, 12358.42656,************,************,   -80.29083,         NaN
    -0.00000,    -0.40055,     0.00000,156190.00988,-39314.15524,161061.85765,************,************,    43.14830,         NaN
    -0.04187,    -0.39836,     0.00000,-84740.81913, 20709.71232, 87234.73283,************,************,   706.51453,         NaN
    -0.08328,    -0.39180,     0.00000,-68845.50858, 17654.17442, 71073.01826,************,************,  3255.61897,         NaN
    -0.12378,    -0.38095,     0.00000,103710.11725,-25026.80420,106687.06271,************,************,-13156.94824,         NaN
    -0.16292,    -0.36592,     0.00000, 15008.77238,  -744.88988, 15027.24557,************,************, -6896.05708,         NaN
    -0.20028,    -0.34689,     0.00000,-12314.31200, -6564.45670, 13954.72579,************,************,  9611.62600,         NaN
    -0.23544,    -0.32405,     0.00000,  1738.21638, -1856.10139,  2542.93306,************,************,  1503.98719,         NaN
    -0.26802,    -0.29767,     0.00000, -2407.33756,  -252.12900,  2420.50474,************,************,   642.55811,         NaN
    -0.29767,    -0.26802,     0.00000, -2972.55182,   191.29802,  2978.70093,************,-58972.82443,   331.27121,         NaN
    -0.32405,    -0.23544,     0.00000, -2087.86156,     2.17869,  2087.86270,************,-20307.24106,   166.37476,         NaN
    -0.34689,    -0.20028,     0.00000, -1708.74008,  -810.43507,  1891.18948,************,-35887.08352,    64.71594,         NaN
    -0.36592,    -0.16292,     0.00000,************,************,************,************,************,    -1.50061,         NaN
    -0.38095,    -0.12378,     0.00000, 62034.76392,-15056.81890, 63835.88121,************,************,   -47.88805,         NaN
    -0.39180,    -0.08328,     0.00000, 16269.60570, -3370.38015, 16615.03933,************,************,   -83.34311,         NaN
    -0.39836,    -0.04187,     0.00000,  8415.40082, -1537.13014,  8554.63267,************,-56582.70476,  -108.94533,         NaN
    -0.40055,     0.00000,     0.00000,  4988.42141,  -747.86691,  5044.17021,************,-19834.89185,  -119.53110,         NaN
    -0.39836,     0.04187,     0.00000,  2975.64683,  -194.91229,  2982.02362,************, -6270.75651,  -102.17927,         NaN
    -0.39180,     0.08328,     0.00000,   107.94463,   300.01102,   318.83955,************,  -574.90065,   113.04849,         NaN
    -0.38095,     0.12378,     0.00000,  1148.83884,  -206.12549,  1167.18396,************, -3913.61903,  -273.21536,         NaN
    -0.36592,     0.16292,     0.00000,  1946.57996,    31.23142,  1946.83049,************,-10706.73581,  -417.55949,         NaN
    -0.34689,     0.20028,     0.00000,  4598.23458, -4689.67178,  6567.85982,************,211250.97036,    30.28895,     0.71289
    -0.32405,     0.23544,     0.00000,  1444.56584, -5547.37156,  5732.37313,************,************,    -6.68445,         NaN
    -0.29767,     0.26802,     0.00000, -9120.59894,  1165.05380,  9194.70909,************,************,    -5.63560,         NaN
    -0.26802,     0.29767,     0.00000,-13724.16310,  6488.50248, 15180.68896,************,************,    -3.46044,         NaN
    -0.23544,     0.32405,     0.00000,  7284.86944, -3247.32520,  7975.86633,************,-24414.08212,    -3.85954,         NaN
    -0.20028,     0.34689,     0.00000,  3193.62086,   502.01985,  3232.83748,************, -5062.89458,    -5.70720,         NaN
    -0.16292,     0.36592,     0.00000,  3295.39769,   703.67624,  3369.68933,************, -5131.66100,    -6.48428,         NaN
    -0.12378,     0.38095,     0.00000,  5674.64858,  1010.37141,  5763.89511,************,-20391.39221,    -4.36941,         NaN
    -0.08328,     0.39180,     0.00000, -7874.68484,  -919.25468,  7928.15808,************,-41571.21396,     3.85204,         NaN
    -0.04187,     0.39836,     0.00000,  2817.13667,  -868.13393,  2947.86627,************,-11629.01679,    34.98482,         NaN
     0.00000,     0.40055,     0.00000,  5685.58841, -1253.52335,  5822.13331,************,-46085.92171,    62.40608,         NaN
     0.05000,     0.40055,     0.00000,  5279.93866, -1051.02702,  5383.53137,************,-45235.56902,    40.00395,         NaN
     0.10000,     0.40055,     0.00000, 30844.86122, -5034.98773, 31253.10488,************,************,     6.92189,         NaN
     0.15000,     0.40055,     0.00000,635763.99322,************,645386.14063,************,************,    -3.94210,         NaN
     0.20000,     0.40055,     0.00000,552214.35244,-96070.99546,560508.98941,************,************,    -4.50245,         NaN
     0.25000,     0.40055,     0.00000,552214.35244,-96070.99546,560508.98941,************,************,    -4.50245,         NaN
     0.30000,     0.40055,     0.00000,552214.35244,-96070.99546,560508.98941,************,************,    -4.50245,         NaN
     0.35000,     0.40055,     0.00000, 90169.64424,-16628.17355, 91690.02616,************,************,   -34.20865,         NaN
     0.40000,     0.40055,     0.00000, -1010.80055,   789.38259,  1282.51418,************,-46614.46177,  -229.14651,         NaN
     0.45000,     0.40055,     0.00000, -9662.54292,  1235.92288,  9741.26486,************,-72964.76015,   -39.69158,         NaN
     0.50000,     0.40055,     0.00000,   624.93967,     0.00000,   624.93967,124553.69500,   299.30000,     1.45000,     1.80210
     0.50000,    -0.35979,     0.00000,   590.22080,     0.00000,   590.22080,122263.07625,   298.95000,     1.42500,     1.70298
     0.45000,    -0.35979,     0.00000,-21394.88223,  3388.44290, 21661.54498,************,************,   -54.70229,         NaN
     0.40000,    -0.35979,     0.00000, 21735.24330, -3030.05512, 21945.43313,************,************,  -104.20351,         NaN
     0.35000,    -0.35979,     0.00000,393814.47228,-73582.68201,400629.81626,************,************,    26.66247,         NaN
     0.30000,    -0.35979,     0.00000,************, 22185.59981,119428.82493,************,************,   -88.69223,         NaN
     0.25000,    -0.35979,     0.00000,************, 22185.59981,119428.82493,************,************,   -88.69223,         NaN
     0.20000,    -0.35979,     0.00000,************, 22185.59981,119428.82493,************,************,   -88.69223,         NaN
     0.15000,    -0.35979,     0.00000,************, 22738.45247,122433.07700,************,************,   -86.53296,         NaN
     0.10000,    -0.35979,     0.00000,************, 24397.56479,131218.40330,************,************,   -76.25045,         NaN
     0.05000,    -0.35979,     0.00000,************, 21882.97153,116293.22056,************,************,   -56.45712,         NaN
    -0.00000,    -0.35979,     0.00000,-78980.92837, 15201.39820, 80430.52625,************,************,   -56.08312,         NaN
    -0.03761,    -0.35782,     0.00000,************, 49027.85588,274270.28735,************,************,   -65.92586,         NaN
    -0.07480,    -0.35192,     0.00000,************,810121.60768,************,************,************,    21.71633,         NaN
    -0.11118,    -0.34218,     0.00000,************,134866.25976,733483.33004,************,************,   538.76275,         NaN
    -0.14634,    -0.32868,     0.00000,777374.40599,************,791587.61592,************,************, -2997.20402,         NaN
    -0.17989,    -0.31158,     0.00000,100452.80328,-19548.78426,102337.28867,************,************, -1112.69018,         NaN
    -0.21148,    -0.29107,     0.00000, 37709.66723, -7286.45657, 38407.17970,************,************,  -885.16377,         NaN
    -0.24074,    -0.26737,     0.00000, 19476.71155, -3630.06279, 19812.10863,************,************,  -774.72368,         NaN
    -0.26737,    -0.24074,     0.00000, 13382.60560, -2331.43860, 13584.17235,************,************,  -678.62493,         NaN
    -0.29107,    -0.21148,     0.00000, 16876.41883, -2878.94897, 17120.21787,************,************,  -574.05278,         NaN
    -0.31158,    -0.17989,     0.00000,************, 72763.15649,347926.10625,************,************,  -459.94605,         NaN
    -0.32868,    -0.14634,     0.00000,-21205.91004,  4436.48948, 21665.01926,************,************,  -348.74288,         NaN
    -0.34218,    -0.11118,     0.00000,102762.08889, -6987.37133,102999.37025,************,************,  -257.77776,     3.47243
    -0.35192,    -0.07480,     0.00000,  8389.15667,    24.02927,  8389.19109,************,  9294.13484,  -196.75082,     4.34121
    -0.35782,    -0.03761,     0.00000,  6269.34981,  -469.70307,  6286.92039,************,-15821.39452,  -162.48663,         NaN
    -0.35979,     0.00000,     0.00000,  3757.15080,  -493.02134,  3789.36039,************, -7946.26849,  -144.78022,         NaN
    -0.35782,     0.03761,     0.00000,   985.18328,  -127.78853,   993.43646,************,  -560.33622,  -134.78123,         NaN
    -0.35192,     0.07480,     0.00000, -1316.79117,   391.52403,  1373.76492,************, -2056.86892,  -130.29829,         NaN
