prediction;test_price
28.97;28.71
29.78;28.38
29.1;27.72
28.6;28.33
28.1;28.57
28.47;25.94
28.8;26.77
27.2;26.76
27.1;26.14
27.09;25.77
26.52;24.65
26.18;23.18
25.27;22.4
24.11;20.76
23.17;20.1
21.9;23.31
20.84;22.4
22.78;20.39
23.01;21.17
21.72;21.59
21.57;23.16
21.85;22.08
23.07;20.11
22.78;20.41
21.28;19.72
20.87;18.64
20.3;20.86
19.47;20.91
20.33;22.1
21.0;22.6
21.86;21.84
22.44;22.7
22.1;21.14
22.43;19.9
21.84;20.38
20.72;19.26
20.45;19.0
19.91;17.59
19.66;18.89
18.34;18.39
19.04;17.22
18.95;18.03
18.24;17.4
18.65;16.34
18.12;18.42
17.54;19.37
18.71;19.22
19.33;19.63
19.6;19.65
20.06;17.74
19.94;18.72
19.01;19.14
19.28;19.01
19.38;19.86
19.7;21.74
20.1;20.53
21.47;20.68
21.23;20.21
20.76;20.02
20.42;20.16
20.13;21.06
20.12;20.88
20.85;20.21
20.85;19.86
20.33;19.42
20.18;19.35
20.0;19.47
19.93;19.64
20.05;19.01
19.76;19.9
19.59;20.09
19.78;21.18
20.0;20.81
20.99;21.53
20.91;20.52
21.38;20.28
21.1;19.75
20.74;19.36
20.36;18.77
19.99;18.42
19.61;18.91
18.99;19.0
19.21;17.92
19.71;18.8
18.92;18.57
19.16;18.25
19.3;18.47
18.95;18.82
18.77;19.73
19.01;18.82
19.95;18.31
19.64;17.89
18.96;18.26
18.67;16.82
18.41;16.57
17.77;17.22
17.52;17.21
17.56;16.61
17.57;16.38
17.29;16.67
17.0;16.4
16.91;15.8
17.01;15.61
16.64;15.66
16.13;15.52
16.11;15.03
15.92;15.87
15.68;15.37
15.98;14.93
16.08;14.85
15.74;14.21
15.52;14.49
15.28;15.0
15.25;14.16
15.48;14.02
15.25;13.8
14.83;14.71
14.33;14.69
15.21;15.43
15.25;15.17
15.67;15.24
15.6;15.78
15.74;16.04
16.03;15.67
16.28;15.45
16.2;16.75
15.8;16.19
16.58;16.41
16.72;16.88
16.51;16.46
16.84;15.81
16.71;16.08
16.29;16.64
16.09;17.89
16.62;17.71
17.62;17.37
17.93;16.93
17.79;17.14
16.87;17.6
16.86;17.29
17.54;16.84
17.54;17.47
17.14;18.16
17.62;18.05
18.31;17.19
18.28;17.24
17.45;17.18
17.33;17.38
17.54;17.94
17.42;17.48
17.88;17.28
17.84;18.6
17.84;19.39
18.91;19.43
19.33;20.24
19.57;20.5
20.39;22.91
20.74;22.43
22.12;22.54
22.44;21.88
22.63;21.53
22.13;20.9
21.44;20.79
20.86;20.73
20.85;21.44
20.84;21.09
21.03;20.85
21.25;20.57
21.28;20.99
21.02;21.73
21.15;21.14
21.62;21.24
21.61;21.45
21.36;22.16
21.5;22.25
21.96;22.21
22.44;22.26
22.56;22.09
22.61;22.43
22.61;22.43
22.81;22.22
23.07;22.34
22.6;22.19
22.55;21.47
22.67;20.8
21.9;20.97
21.51;21.0
21.36;20.83
21.25;20.06
21.19;20.26
20.79;20.28
20.47;20.85
20.44;20.75
20.96;20.95
20.76;20.66
20.94;20.76
21.02;20.22
21.02;20.44
20.86;19.95
20.61;19.69
20.47;19.95
20.14;19.84
20.29;20.1
20.03;20.46
20.14;21.32
20.62;21.95
21.41;21.7
21.82;22.46
22.16;22.31
22.65;22.47
22.54;23.73
22.4;23.54
23.3;23.42
23.6;23.35
23.74;22.92
23.67;23.22
23.41;22.24
23.18;22.6
22.91;22.7
22.88;22.38
23.01;22.46
23.04;23.63
22.65;23.41
23.34;22.93
23.46;23.22
23.6;23.25
23.49;22.9
23.34;22.22
23.45;22.31
22.89;22.56
22.34;22.92
22.68;23.72
23.01;23.73
23.74;23.79
23.72;23.91
23.6;23.92
24.08;23.77
24.09;23.06
23.9;22.74
23.46;22.49
23.0;22.53
22.89;22.93
22.7;23.27
22.86;23.86
23.45;25.11
23.91;25.16
24.87;24.86
24.97;25.05
25.03;25.12
25.11;25.2
25.23;25.18
25.13;24.79
25.19;25.13
24.85;24.86
25.22;24.77
25.26;24.46
25.04;25.0
24.79;24.74
25.29;24.31
25.08;24.23
24.79;24.09
24.55;24.5
24.34;24.95
24.56;24.94
24.69;25.39
24.83;25.36
25.42;25.36
25.47;25.16
25.48;25.6
25.62;25.88
25.96;26.03
26.07;26.45
26.17;25.99
26.5;25.88
26.0;26.07
25.83;25.58
25.81;25.37
25.54;24.94
25.46;24.12
25.35;24.92
24.68;24.23
25.11;24.27
24.62;24.46
24.61;24.82
24.51;25.68
24.87;25.29
25.64;25.68
25.63;25.78
25.76;25.93
26.16;25.72
26.09;26.95
26.19;27.18
26.88;27.33
27.76;27.16
27.92;26.75
27.66;26.57
27.38;26.99
27.1;26.77
27.21;27.1
27.1;26.87
27.31;26.76
27.35;27.21
27.32;27.26
27.52;26.86
27.81;27.31
27.55;27.45
27.83;27.17
27.96;27.18
27.9;28.03
27.84;28.39
28.48;28.51
28.71;28.82
28.92;29.05
29.27;28.6
29.48;28.62
29.26;29.02
29.19;28.94
29.28;29.05
29.48;28.92
29.3;28.58
29.33;29.0
29.01;28.91
29.27;28.88
29.33;28.72
29.43;28.65
29.18;28.5
29.31;28.51
29.09;28.55
28.96;28.09
28.74;27.6
28.47;28.03
28.13;27.78
28.24;27.41
28.16;27.77
27.84;27.94
28.03;27.42
28.17;26.85
28.03;26.8
27.7;26.57
27.49;26.26
27.06;26.29
26.82;26.47
26.69;26.44
26.95;26.85
26.89;27.54
27.15;26.57
27.76;26.46
27.04;26.4
26.79;26.73
26.62;26.9
26.65;27.01
26.85;26.93
26.82;27.29
26.76;27.64
27.02;27.78
27.43;27.97
27.79;27.87
27.77;27.69
27.89;28.11
27.78;28.09
27.99;27.98
28.03;28.25
28.09;28.55
28.3;28.34
28.38;29.17
28.09;29.75
28.77;29.73
29.34;29.83
29.44;29.85
29.47;30.28
29.41;30.17
29.69;30.2
29.95;30.23
30.2;30.23
30.04;30.26
29.92;30.13
29.99;30.41
30.0;30.46
30.14;30.8
30.41;31.43
30.75;31.63
31.16;31.49
31.58;31.44
31.53;31.27
31.28;31.84
31.25;31.54
31.48;31.77
31.16;31.63
31.16;31.95
31.37;32.44
31.69;32.15
32.29;32.1
32.33;32.42
32.18;32.6
32.4;32.09
32.63;32.4
32.31;32.73
32.38;32.75
32.64;32.94
32.75;32.95
32.94;33.18
33.21;32.53
33.55;32.5
33.22;33.34
33.09;33.0
33.37;33.64
33.19;32.77
33.64;31.65
33.17;30.46
32.06;29.92
31.02;31.61
30.43;32.03
31.43;31.46
32.22;31.12
32.2;30.51
31.87;30.63
31.3;30.21
31.13;29.91
30.85;28.65
30.38;29.44
29.63;29.09
29.7;28.95
29.41;29.62
29.32;30.78
29.75;29.93
30.77;29.85
30.37;31.12
29.97;31.09
30.64;30.17
30.99;29.59
30.43;29.69
30.03;29.5
29.82;30.55
29.68;30.67
30.32;30.39
30.54;31.34
30.46;31.16
31.0;31.41
31.12;31.48
31.27;31.4
31.32;30.77
31.44;30.76
31.13;30.09
30.79;29.99
30.46;29.75
30.24;28.93
29.94;28.21
29.36;28.2
28.7;28.11
28.47;28.41
28.6;29.68
28.87;29.86
29.79;30.23
30.03;30.25
30.38;30.86
30.31;30.67
30.68;30.5
30.77;29.58
30.67;29.83
29.91;29.91
29.81;29.39
30.12;30.09
29.81;30.57
29.9;30.81
30.25;30.7
30.29;30.49
30.25;30.19
29.87;30.17
29.87;30.88
29.84;30.64
30.24;31.2
30.57;31.33
31.06;31.35
31.34;31.49
31.43;31.61
31.55;30.65
31.39;30.44
30.8;30.17
30.57;30.15
30.4;30.24
30.08;30.37
30.25;29.73
30.47;29.6
29.93;29.49
29.75;28.79
29.68;28.76
29.16;28.61
29.03;29.36
28.77;28.97
29.23;29.14
29.17;30.01
29.35;30.37
29.99;31.05
30.29;30.31
30.72;30.31
30.37;30.52
30.16;30.59
30.28;30.69
30.2;30.5
30.39;30.64
30.32;30.6
30.47;30.95
30.61;31.26
30.79;30.9
30.73;30.44
30.39;29.66
30.14;30.08
29.48;29.82
29.63;29.75
29.75;29.57
29.73;29.65
29.46;29.86
29.57;29.68
29.86;30.3
29.84;30.2
30.25;30.37
30.21;30.91
30.31;30.96
30.75;30.88
31.08;31.27
30.96;31.21
31.2;31.24
31.21;31.12
31.08;30.67
31.05;31.01
30.9;31.06
31.08;31.32
31.01;31.76
31.11;32.21
31.45;32.17
31.95;32.7
32.13;32.36
32.39;32.27
32.26;32.34
32.11;32.5
32.07;33.17
32.26;33.32
32.79;33.19
33.26;33.01
33.21;33.13
33.01;32.18
32.97;33.81
32.42;33.36
33.22;33.07
33.43;33.34
32.9;33.66
32.96;33.15
33.41;33.09
33.38;32.35
33.35;33.02
33.05;32.87
33.28;32.62
33.32;32.7
33.05;33.25
33.01;33.44
33.39;33.67
33.57;33.64
33.63;33.43
33.72;33.11
33.72;33.27
33.47;33.19
33.47;33.62
33.3;33.72
33.57;33.46
33.93;33.51
33.62;33.55
33.54;33.56
33.49;33.8
33.46;34.36
33.54;34.14
33.79;33.94
33.93;33.83
33.84;34.05
33.58;33.94
33.57;33.96
33.43;34.24
33.41;35.3
33.6;36.18
34.37;35.9
35.06;35.72
35.17;35.77
35.09;35.67
35.06;35.47
35.3;35.55
35.07;35.58
35.04;35.67
35.1;35.39
35.16;35.47
34.88;35.98
34.79;36.16
35.23;36.09
35.51;35.71
35.72;35.73
35.54;35.18
35.28;35.19
34.92;36.11
34.77;36.66
35.37;36.67
35.73;36.86
35.9;37.07
36.26;37.29
36.4;39.26
36.65;39.22
38.05;39.31
38.5;39.15
38.61;39.02
38.34;39.57
38.24;39.57
38.56;39.44
38.77;38.62
38.75;38.15
38.19;38.41
37.53;38.89
37.71;39.6
37.96;38.93
38.63;39.2
38.52;39.9
38.61;39.43
38.96;38.95
38.91;39.12
38.81;39.04
38.85;38.45
38.82;38.87
38.68;38.25
39.02;37.68
38.58;36.76
38.01;36.91
37.15;37.33
36.78;37.87
37.0;37.52
37.51;38.25
37.68;38.81
38.15;38.91
38.68;38.5
38.77;38.88
38.57;39.25
38.74;39.02
39.1;38.8
38.98;38.6
38.63;38.42
38.48;38.27
38.35;38.07
38.17;37.81
38.05;37.93
37.81;37.69
37.5;37.76
36.86;37.14
36.88;37.59
36.87;37.3
37.11;37.44
37.13;38.07
37.14;38.27
37.61;37.97
38.13;38.33
37.95;38.55
37.89;38.95
37.83;39.02
38.11;39.18
38.46;39.0
38.73;38.59
38.74;38.65
38.46;38.99
38.38;39.02
38.43;39.76
38.54;37.59
39.12;37.65
37.76;37.59
37.27;37.06
37.14;37.13
36.74;37.5
36.72;37.47
36.99;37.58
37.22;37.27
37.12;37.21
36.85;37.24
36.63;37.11
36.65;37.59
36.75;37.69
37.11;36.58
37.19;36.27
36.44;35.66
35.87;35.67
35.5;35.63
35.35;35.52
35.22;35.65
34.85;34.86
34.8;34.74
34.32;34.94
34.23;34.76
34.4;34.42
34.6;34.44
34.35;34.62
34.12;35.11
34.22;34.69
34.68;34.24
34.5;34.03
34.22;34.47
34.02;34.33
34.15;34.72
34.22;35.35
34.36;35.96
34.87;36.19
35.48;35.83
35.56;35.98
35.24;36.14
35.35;35.51
35.33;35.45
35.01;35.82
34.94;35.84
35.23;35.56
35.24;35.09
35.13;35.8
34.65;35.64
34.93;36.89
34.89;36.81
35.6;36.73
35.87;36.68
35.75;35.78
35.88;35.67
35.3;34.97
34.82;34.81
34.51;33.47
34.29;33.89
33.4;32.01
33.4;31.85
32.4;29.91
31.75;31.42
30.45;28.56
30.87;29.08
29.52;29.96
29.25;30.47
29.63;30.26
30.04;30.21
29.98;29.47
30.2;28.84
29.66;28.99
29.21;29.07
29.02;29.44
29.04;28.98
29.29;29.34
28.97;30.02
28.86;30.41
29.13;30.84
29.69;30.22
30.05;29.39
29.8;28.76
29.08;29.54
28.67;28.93
28.82;28.11
28.84;28.33
28.14;28.48
28.29;29.24
28.19;29.83
28.84;29.8
29.29;29.44
29.52;29.26
29.12;28.32
29.1;26.76
28.57;27.01
27.55;27.44
27.32;28.21
27.5;27.6
28.03;27.75
27.88;27.31
27.92;26.26
27.81;27.04
26.94;28.53
27.1;29.0
28.22;28.7
28.7;29.88
28.67;29.53
29.43;30.57
29.18;30.38
29.77;31.21
30.0;30.23
30.49;30.73
30.14;30.43
30.33;30.64
30.26;31.84
30.07;32.03
30.98;31.25
31.56;31.74
31.2;32.85
31.45;32.79
32.1;31.58
32.19;30.42
31.43;30.85
30.77;31.72
31.07;31.47
31.68;31.83
31.66;31.95
31.83;30.6
31.73;31.36
30.99;33.23
31.31;32.7
32.43;33.0
32.62;32.17
32.69;31.83
32.45;32.26
31.76;31.08
32.21;30.8
31.42;30.24
30.96;30.34
30.28;30.85
30.21;30.79
30.51;32.46
30.51;32.59
31.65;33.15
31.97;33.45
32.13;33.35
32.56;33.59
32.72;32.52
32.85;33.1
32.14;33.18
32.16;32.9
32.19;32.37
32.16;32.4
31.95;32.52
32.18;31.99
31.72;33.3
31.46;33.39
32.1;34.02
32.42;34.71
32.93;34.63
33.6;34.29
33.83;34.72
33.41;34.52
33.9;35.27
34.13;35.77
35.13;36.37
35.54;36.74
35.91;36.6
36.13;36.49
36.02;35.63
36.24;35.66
35.64;35.35
35.32;35.43
35.03;35.92
34.91;36.31
35.01;36.19
35.66;36.14
35.99;36.14
35.98;36.42
35.87;36.23
36.14;36.14
36.19;35.9
35.81;35.81
35.45;36.21
35.37;35.82
35.49;36.83
35.43;37.25
35.78;37.73
36.42;38.0
36.83;38.23
37.03;38.16
37.42;38.47
37.23;38.3
37.74;37.98
37.62;38.24
37.77;38.44
37.55;38.27
37.97;38.0
37.54;38.19
37.61;38.03
37.58;38.34
37.64;38.6
37.8;38.66
38.27;39.03
38.44;39.0
38.86;39.31
38.98;38.67
39.03;38.44
38.48;38.69
38.09;38.89
38.44;38.98
38.44;40.52
38.52;40.03
39.44;40.02
39.46;39.76
39.38;39.99
39.1;39.81
39.18;39.84
39.16;39.86
39.08;40.19
39.14;40.86
38.94;40.65
39.64;40.06
39.73;39.6
39.33;40.31
38.97;40.36
39.39;39.86
39.3;39.52
38.92;39.66
38.53;38.77
38.47;37.74
37.88;38.09
37.3;38.81
37.33;38.53
37.98;38.35
38.14;39.29
38.16;39.12
38.8;38.74
38.85;38.99
38.8;38.68
38.77;38.83
38.29;39.31
38.42;39.92
38.6;39.91
39.12;39.69
39.17;40.32
39.4;40.09
40.12;40.33
39.93;39.52
40.01;40.34
39.37;40.79
39.31;41.45
39.62;41.69
40.18;41.95
40.41;41.59
40.82;41.44
41.1;41.5
41.0;40.81
40.76;40.33
40.36;40.87
40.03;40.87
39.83;40.7
40.08;40.91
40.07;40.97
40.03;41.87
40.06;41.61
40.75;42.08
40.93;40.88
40.88;40.89
40.21;41.28
40.29;41.92
40.63;42.01
41.3;42.57
41.46;42.17
41.84;42.7
42.03;42.56
42.66;43.44
42.87;43.35
43.29;43.36
43.32;43.74
43.07;43.94
43.12;43.64
43.3;43.7
43.4;42.99
43.33;43.55
42.9;44.07
43.2;44.03
43.87;44.65
43.85;44.85
44.26;44.73
44.44;44.29
44.27;44.23
43.95;44.19
43.83;43.6
43.87;43.52
43.38;43.65
43.04;44.37
43.03;44.06
43.34;45.43
43.54;45.43
44.47;45.1
44.67;44.73
44.29;44.17
43.88;44.34
43.41;44.47
43.29;45.77
43.37;45.98
44.24;45.85
44.56;45.24
44.56;44.95
44.02;45.09
44.01;45.82
44.02;45.71
44.44;45.86
44.37;46.48
44.51;46.0
45.04;45.71
44.8;45.9
44.41;45.75
44.19;45.93
43.85;46.26
43.9;46.46
44.16;46.45
44.86;45.7
45.1;45.72
44.53;45.27
44.38;45.63
44.02;45.69
44.33;45.69
44.05;46.07
43.81;45.5
44.04;45.54
43.72;45.72
43.75;46.76
44.14;47.75
44.9;47.63
45.83;47.43
45.64;47.47
45.46;47.6
45.44;48.43
45.67;48.2
46.11;48.01
46.0;47.78
45.84;48.52
45.65;48.48
46.12;48.56
46.53;48.72
46.52;48.37
46.62;47.82
46.3;48.41
45.84;48.13
45.99;47.94
46.25;47.54
46.27;48.31
45.7;48.45
46.07;48.77
46.51;48.18
46.77;47.42
46.57;47.15
45.65;46.35
45.15;46.58
44.53;46.76
44.59;47.17
44.74;48.14
44.79;48.26
45.38;47.78
45.58;47.68
45.28;46.73
45.39;46.63
44.98;46.27
44.44;46.11
44.05;45.22
43.97;45.83
43.56;45.9
43.65;46.33
43.52;46.47
43.77;46.11
43.84;46.07
43.71;43.33
43.58;43.69
42.08;44.15
41.65;43.43
41.9;43.7
41.73;43.66
41.85;44.11
41.91;44.6
42.16;44.82
42.35;45.35
42.54;45.14
42.55;44.74
42.52;45.3
42.3;45.78
42.61;45.72
43.11;45.38
43.43;45.39
43.33;45.66
42.94;45.86
43.11;46.03
43.18;46.09
43.17;46.25
43.22;46.4
43.71;45.91
44.01;45.5
43.71;46.07
43.2;46.95
43.63;46.68
43.84;47.61
43.79;46.74
44.69;46.63
44.44;46.6
44.26;46.3
44.39;45.95
43.86;46.54
43.83;47.77
44.0;47.87
44.86;48.79
45.03;47.65
45.46;47.45
44.98;47.47
44.55;47.48
44.6;47.28
44.76;47.29
44.93;47.76
44.78;48.17
45.0;48.99
45.46;48.93
46.06;49.29
46.11;50.43
46.18;50.43
47.01;50.83
47.03;50.82
47.52;50.47
47.98;50.28
47.71;50.37
47.53;51.03
47.57;50.39
47.86;50.75
47.64;50.97
47.83;50.82
47.83;51.1
47.6;51.18
47.69;51.37
48.01;51.38
48.2;51.3
48.4;51.98
48.32;52.1
48.94;51.04
48.89;50.64
48.35;50.71
48.06;50.1
47.98;50.39
47.95;50.93
47.94;51.03
48.25;51.72
48.15;52.16
48.46;52.8
48.74;52.69
49.05;52.65
49.21;53.65
49.33;53.9
49.67;53.39
50.05;53.6
50.11;53.98
50.14;53.83
50.29;53.12
50.06;52.64
49.78;53.23
49.2;52.64
49.18;53.08
48.9;52.54
48.98;52.94
48.81;52.79
49.03;53.1
49.35;52.99
49.54;53.71
49.57;53.52
50.16;53.83
50.05;53.94
50.4;54.98
50.6;55.28
51.62;56.19
51.96;56.6
52.49;56.6
52.66;55.04
52.63;56.79
51.59;56.72
52.4;56.08
52.67;57.55
52.13;57.97
52.76;58.51
53.26;57.9
53.74;57.96
53.71;57.84
53.48;58.89
53.3;58.74
54.02;59.09
54.09;59.71
54.2;60.57
54.33;60.82
55.14;61.76
55.42;61.69
56.29;62.32
56.52;62.82
57.25;62.93
57.6;63.07
57.59;63.26
57.46;62.14
57.47;62.24
56.77;61.81
56.76;61.54
56.25;61.29
55.84;60.98
55.41;61.22
55.45;62.34
55.68;61.94
56.34;60.43
56.67;58.97
55.64;59.64
54.59;60.15
54.42;59.0
54.9;59.02
54.49;60.62
54.22;59.67
54.98;59.64
55.17;58.88
54.77;60.11
54.48;59.64
55.06;60.28
54.67;61.03
54.51;60.14
54.86;57.94
54.45;58.64
53.5;58.37
53.66;58.49
53.55;59.09
53.55;59.57
54.03;59.03
54.14;59.76
53.64;59.14
53.82;59.46
53.45;59.66
53.44;60.49
53.86;60.71
55.1;60.68
55.27;62.24
55.43;62.61
56.45;61.63
56.72;60.79
56.16;61.1
55.62;61.53
55.63;60.91
55.56;60.2
55.42;60.25
54.69;60.43
54.59;60.34
54.63;60.74
54.8;60.4
54.9;60.0
54.65;60.43
54.38;61.1
54.82;62.17
55.27;61.72
56.13;62.68
56.05;61.61
56.52;61.46
56.04;60.51
56.03;59.76
55.34;59.81
54.53;59.79
54.27;58.31
54.23;58.12
53.46;57.8
53.23;57.85
53.66;57.15
53.75;57.62
53.01;57.7
53.09;57.35
53.07;56.73
52.39;56.84
52.36;57.1
52.32;56.86
52.57;56.96
52.56;57.13
52.84;57.3
53.02;57.39
53.19;57.57
53.08;58.73
53.22;59.77
53.45;61.22
54.66;62.34
55.75;62.58
56.61;62.61
56.97;62.73
57.23;61.43
57.31;60.77
56.69;60.53
56.14;60.13
55.58;60.25
54.69;60.99
54.59;60.94
55.16;60.28
55.14;60.6
54.76;60.65
54.84;59.85
54.61;61.04
53.86;60.38
54.09;59.83
54.24;59.44
53.97;61.3
53.84;61.89
54.54;62.47
55.29;62.11
55.69;62.02
55.61;62.09
55.31;62.77
55.15;63.2
55.27;64.5
55.7;63.68
56.21;64.55
56.07;64.74
56.36;64.5
56.81;64.43
56.57;64.01
56.79;64.12
56.71;64.51
56.85;64.32
57.48;64.36
57.11;64.5
56.72;62.77
56.61;64.11
56.02;63.88
56.33;63.35
56.46;64.47
56.55;65.45
57.35;65.44
58.02;64.97
58.46;64.61
58.35;64.72
58.16;65.38
57.88;65.62
58.09;65.19
58.58;66.54
58.18;66.16
58.56;65.94
58.79;66.29
58.27;65.34
58.16;65.41
57.61;65.65
57.7;66.8
57.97;66.47
58.6;66.9
58.81;65.92
58.75;65.89
58.12;65.88
58.01;66.73
58.25;66.87
58.54;68.33
58.73;69.05
59.56;68.51
59.93;69.35
60.04;69.89
60.48;70.62
61.22;70.36
61.67;72.14
61.56;72.3
62.38;72.18
63.08;72.03
62.71;71.75
62.52;72.24
62.42;71.18
62.65;70.88
62.28;71.34
62.24;69.34
62.17;70.45
61.2;70.29
61.43;70.23
61.39;70.01
61.19;70.22
61.58;71.27
61.86;70.78
62.35;68.82
62.3;68.37
61.19;68.97
60.22;67.5
60.4;69.29
59.95;68.71
60.38;66.23
60.23;67.24
59.13;67.91
58.71;71.51
59.12;71.61
61.16;72.92
61.99;73.62
62.71;73.73
63.26;73.72
63.68;74.98
63.77;75.31
64.21;74.64
64.68;74.94
64.5;75.83
64.06;76.4
64.71;75.91
65.24;75.78
65.23;76.16
64.72;76.47
64.48;75.2
64.95;77.33
64.56;78.24
65.19;78.87
66.01;77.8
66.59;77.57
65.98;76.7
65.9;77.01
65.38;75.64
65.06;75.77
64.54;77.02
64.42;77.59
64.78;76.2
65.55;76.47
64.98;76.04
64.83;75.22
64.45;75.28
64.11;74.4
64.06;74.27
63.89;74.75
64.13;75.77
64.38;77.19
64.71;77.29
65.88;77.31
66.7;76.11
66.75;74.88
66.14;75.3
64.74;76.15
64.29;73.35
64.73;72.88
63.9;73.45
63.24;73.49
63.48;74.71
63.23;75.7
64.01;74.86
64.9;75.19
64.65;75.25
64.71;75.32
64.88;74.03
64.73;73.61
64.33;74.42
64.32;75.08
65.23;75.29
65.56;76.0
66.28;76.86
66.76;76.68
66.99;75.98
67.07;77.22
67.19;77.55
67.31;78.0
67.61;77.68
67.85;76.58
67.25;75.85
65.96;76.08
65.34;76.7
65.6;76.74
65.78;77.78
65.54;77.93
65.9;78.85
65.72;79.25
66.23;79.11
67.09;79.52
66.74;79.5
66.54;79.75
66.25;79.38
66.91;79.72
67.38;80.23
67.41;80.07
67.58;80.89
67.88;80.2
67.74;79.79
67.52;78.36
67.89;78.36
67.23;78.83
66.56;78.7
67.01;79.09
67.05;79.27
67.1;78.38
67.73;78.32
67.31;78.24
66.98;79.4
66.81;79.92
67.94;80.72
68.49;81.14
68.84;81.83
69.04;81.8
69.42;82.18
69.37;81.94
69.64;81.25
69.41;82.54
68.88;82.2
69.55;82.23
69.58;82.1
69.77;81.53
69.9;80.77
69.53;80.47
68.8;81.21
68.75;81.14
68.26;81.58
68.0;81.42
68.08;82.14
68.2;81.6
68.38;82.47
68.76;81.57
68.84;82.53
67.99;81.27
67.86;80.8
67.33;82.56
66.59;82.09
67.35;81.94
67.21;80.92
66.86;82.19
66.06;82.8
66.54;82.53
67.41;82.9
67.23;83.85
67.54;84.49
67.98;85.14
69.08;85.26
69.81;85.02
69.81;85.53
70.52;85.63
70.89;85.53
70.97;85.19
70.82;85.52
70.8;85.39
70.54;85.06
70.15;85.93
69.5;86.06
69.61;85.3
70.02;86.06
70.31;85.7
70.75;84.79
70.4;84.72
69.89;85.14
69.53;84.86
70.17;85.25
69.87;85.43
69.91;85.48
70.05;85.49
69.97;85.63
69.9;84.5
69.67;83.57
69.25;84.65
68.63;83.34
68.72;83.98
68.27;84.06
68.62;84.25
68.94;82.79
69.33;82.13
68.83;83.7
68.01;83.81
68.63;82.44
69.16;83.38
68.79;81.11
69.18;81.64
67.81;79.41
67.49;79.62
66.22;77.68
66.09;77.35
65.26;79.33
64.28;80.93
65.2;82.84
66.31;82.43
67.75;83.27
67.9;83.85
67.8;83.7
68.0;85.1
68.29;84.73
68.58;85.38
68.46;86.48
69.23;86.79
69.87;85.5
70.06;86.12
69.52;87.06
68.86;85.17
69.36;84.96
68.11;85.15
67.85;85.08
67.71;85.63
67.59;85.93
67.89;85.56
68.34;85.44
68.2;85.0
68.52;84.13
68.33;84.19
67.43;85.72
