X,rho,u,T,P
0.0,1.5,896.4373932405988,500.0,215250.0
0.025,1.48125,885.2319258250914,493.75,209902.3828125
0.05,1.4625,874.0264584095838,487.5,204622.03124999997
0.07500000000000001,1.44375,862.8209909940763,481.25,199408.94531250003
0.1,1.425,851.6155235785689,475.0,194263.125
0.125,1.40625,840.4100561630614,468.75,189184.5703125
0.15000000000000002,1.3875,829.2045887475539,462.5,184173.28125
0.17500000000000002,1.36875,817.9991213320463,456.25,179229.25781249997
0.2,1.35,806.7936539165389,450.0,174352.50000000003
0.225,1.33125,795.5881865010315,443.75,169543.0078125
0.25,1.3125,784.382719085524,437.5,164800.78125
0.275,1.29375,773.1772516700164,431.25,160125.8203125
0.30000000000000004,1.275,761.971784254509,425.0,155518.12499999997
0.325,1.25625,750.7663168390015,418.75,150977.69531250003
0.35000000000000003,1.2375,739.560849423494,412.5,146504.53125
0.375,1.21875,728.3553820079865,406.25,142098.6328125
0.4,1.2,717.149914592479,400.0,137760.0
0.42500000000000004,1.18125,705.9444471769716,393.75,133488.63281249997
0.45,1.1625,694.7389797614641,387.5,129284.53125000001
0.47500000000000003,1.14375,683.5335123459565,381.25,125147.69531250001
0.5,1.125,672.3280449304491,375.0,121078.125
0.525,1.10625,661.1225775149417,368.75,117075.82031249999
0.55,1.0875,649.9171100994341,362.5,113140.78124999999
0.5750000000000001,1.06875,638.7116426839266,356.25,109273.00781250001
0.6000000000000001,1.05,627.5061752684192,350.0,105472.50000000001
0.625,1.03125,616.3007078529117,343.75,101739.2578125
0.65,1.0125,605.0952404374042,337.5,98073.28124999999
0.675,0.99375,593.8897730218966,331.25,94474.5703125
0.7000000000000001,0.975,582.6843056063892,325.0,90943.125
0.7250000000000001,0.95625,571.4788381908818,318.75,87478.9453125
0.75,0.9375,560.2733707753742,312.5,84082.03125
0.775,0.9187500000000001,549.0679033598667,306.25,80752.38281250001
0.8,0.9,537.8624359443593,300.0,77490.0
0.8250000000000001,0.88125,526.6569685288518,293.75,74294.8828125
0.8500000000000001,0.8625,515.4515011133443,287.5,71167.03125
0.875,0.84375,504.2460336978368,281.25,68106.4453125
0.9,0.8250000000000001,493.04056628232934,275.0,65113.125
0.925,0.80625,481.83509886682185,268.75,62187.0703125
0.9500000000000001,0.7875,470.62963145131437,262.5,59328.28125
0.9750000000000001,0.76875,459.4241640358069,256.25,56536.75781250001
1.0,0.75,448.2186966202994,250.0,53812.5
