X,rho,u,T,P
0.0,1.5,896.4373932405988,499.99999999999994,215249.99999999997
0.025,1.5000000000000013,896.4373932405989,499.99999999999983,215250.00000000012
0.05,1.5000000000000027,896.437393240599,499.99999999999966,215250.00000000023
0.07500000000000001,1.500000000000004,896.4373932405991,499.99999999999966,215250.0000000004
0.1,1.5000000000000053,896.4373932405992,499.9999999999995,215250.00000000055
0.125,1.5000000000000064,896.4373932405995,499.99999999999966,215250.0000000008
0.15000000000000002,1.5000000000000078,896.4373932405996,499.9999999999995,215250.0000000009
0.17500000000000002,1.500000000000009,896.4373932405997,499.9999999999994,215250.00000000105
0.2,1.5000000000000104,896.4373932405998,499.9999999999992,215250.00000000116
0.225,1.5000000000000118,896.4373932405999,499.9999999999989,215250.00000000122
0.25,1.500000000000013,896.4373932406,499.9999999999988,215250.00000000137
0.275,1.5000000000000144,896.4373932406002,499.99999999999847,215250.00000000143
0.30000000000000004,1.5000000000000158,896.4373932406002,499.99999999999864,215250.0000000017
0.325,1.500000000000017,896.4373932406003,499.99999999999864,215250.00000000186
0.35000000000000003,1.5000000000000184,896.4373932406002,499.99999999999886,215250.00000000215
0.375,1.5000000000000198,896.4373932406,499.9999999999994,215250.00000000256
0.4,1.500000000000021,896.4373932405998,499.9999999999995,215250.00000000282
0.42500000000000004,1.5000000000000224,896.4373932405996,500.0000000000002,215250.00000000332
0.45,1.5000000000000235,896.4373932405996,500.0000000000004,215250.00000000355
0.47500000000000003,1.5000000000000246,896.4373932405995,500.0000000000008,215250.00000000387
0.5,1.500000000000026,896.4373932405994,500.00000000000165,215250.00000000442
0.525,1.5000000000000273,896.4373932405992,500.00000000000193,215250.00000000474
0.55,1.5000000000000286,896.4373932405992,500.00000000000233,215250.00000000512
0.5750000000000001,1.50000000000003,896.4373932405992,500.0000000000026,215250.0000000054
0.6000000000000001,1.5000000000000313,896.4373932405991,500.0000000000028,215250.00000000568
0.625,1.5000000000000326,896.437393240599,500.00000000000335,215250.00000000614
0.65,1.500000000000034,896.4373932405988,500.0000000000038,215250.00000000652
0.675,1.5000000000000353,896.4373932405988,500.00000000000404,215250.0000000068
0.7000000000000001,1.5000000000000366,896.4373932405989,500.00000000000415,215250.00000000704
0.7250000000000001,1.500000000000038,896.437393240599,500.00000000000415,215250.00000000725
0.75,1.5000000000000393,896.4373932405991,500.000000000004,215250.00000000733
0.775,1.5000000000000406,896.4373932405992,500.000000000004,215250.00000000754
0.8,1.500000000000042,896.4373932405991,500.0000000000042,215250.00000000783
0.8250000000000001,1.5000000000000433,896.4373932405991,500.0000000000045,215250.00000000815
0.8500000000000001,1.5000000000000446,896.4373932405991,500.0000000000046,215250.00000000838
0.875,1.500000000000046,896.437393240599,500.0000000000049,215250.0000000087
0.9,1.5000000000000475,896.437393240599,500.00000000000495,215250.00000000896
0.925,1.5000000000000495,896.4373932405989,500.0000000000051,215250.0000000093
0.9500000000000001,1.5000000000000517,896.4373932405987,500.00000000000534,215250.00000000972
0.9750000000000001,1.500000000000054,896.4373932405983,500.00000000000574,215250.00000001022
1.0,1.5000000000000562,896.4373932405981,500.00000000000585,215250.0000000106
