X,Y,Z,U,V,P
0.000500,0.005500,0.000000,0.007784,0.206498,0.011270
0.000500,0.005750,0.000000,0.011145,0.202477,0.009865
0.000500,0.006000,0.000000,0.013993,0.196276,0.008892
0.000500,0.006250,0.000000,0.016259,0.188131,0.008320
0.000500,0.006500,0.000000,0.017887,0.178327,0.008103
0.000500,0.006750,0.000000,0.018829,0.167201,0.008184
0.000500,0.007000,0.000000,0.019051,0.155146,0.008503
0.000500,0.007250,0.000000,0.018519,0.142606,0.008995
0.000500,0.007500,0.000000,0.017190,0.130081,0.009601
0.000500,0.007750,0.000000,0.014979,0.118136,0.010267
0.000500,0.008000,0.000000,0.011700,0.107405,0.010947
0.000500,0.008250,0.000000,0.006961,0.098628,0.011600
0.000500,0.008500,0.000000,-0.000008,0.092679,0.012184
0.000500,0.008750,0.000000,-0.010534,0.090603,0.012625
0.000500,0.009000,0.000000,-0.026305,0.093499,0.012736
0.000500,0.009250,0.000000,-0.046406,0.101717,0.012037
0.000500,0.009500,0.000000,-0.048433,0.110686,0.009920
0.000500,0.009750,0.000000,0.112686,0.093290,0.009865
0.000500,0.010000,0.000000,1.460408,0.000000,0.011293
0.000750,0.000000,0.000000,0.000000,0.000000,0.040581
0.000750,0.000250,0.000000,0.003350,-0.000634,0.040613
0.000750,0.000500,0.000000,0.001664,-0.000534,0.040728
0.000750,0.000750,0.000000,-0.002562,0.001397,0.040940
0.000750,0.001000,0.000000,-0.008754,0.006026,0.041239
0.000750,0.001250,0.000000,-0.016336,0.013950,0.041592
0.000750,0.001500,0.000000,-0.024602,0.025416,0.041936
0.000750,0.001750,0.000000,-0.032715,0.040251,0.042171
0.000750,0.002000,0.000000,-0.039835,0.057908,0.042170
0.000750,0.002250,0.000000,-0.045290,0.077597,0.041805
0.000750,0.002500,0.000000,-0.048687,0.098458,0.040966
0.000750,0.002750,0.000000,-0.049922,0.119677,0.039585
0.000750,0.003000,0.000000,-0.049111,0.140551,0.037649
0.000750,0.003250,0.000000,-0.046507,0.160499,0.035200
0.000750,0.003500,0.000000,-0.042420,0.179055,0.032326
0.000750,0.003750,0.000000,-0.037177,0.195856,0.029151
0.000750,0.004000,0.000000,-0.031085,0.210624,0.025818
0.000750,0.004250,0.000000,-0.024425,0.223153,0.022473
0.000750,0.004500,0.000000,-0.017444,0.233298,0.019254
0.000750,0.004750,0.000000,-0.010358,0.240963,0.016283
0.000750,0.005000,0.000000,-0.003359,0.246098,0.013654
0.000750,0.005250,0.000000,0.003385,0.248690,0.011439
0.000750,0.005500,0.000000,0.009721,0.248767,0.009678
0.000750,0.005750,0.000000,0.015510,0.246392,0.008385
0.000750,0.006000,0.000000,0.020622,0.241667,0.007550
0.000750,0.006250,0.000000,0.024936,0.234737,0.007141
0.000750,0.006500,0.000000,0.028339,0.225796,0.007112
0.000750,0.006750,0.000000,0.030723,0.215092,0.007405
0.000750,0.007000,0.000000,0.031986,0.202934,0.007954
0.000750,0.007250,0.000000,0.032022,0.189698,0.008695
0.000750,0.007500,0.000000,0.030712,0.175836,0.009567
0.000750,0.007750,0.000000,0.027891,0.161875,0.010518
0.000750,0.008000,0.000000,0.023295,0.148419,0.011513
0.000750,0.008250,0.000000,0.016463,0.136124,0.012532
0.000750,0.008500,0.000000,0.006620,0.125647,0.013571
0.000750,0.008750,0.000000,-0.007386,0.117512,0.014626
0.000750,0.009000,0.000000,-0.026464,0.111829,0.015632
0.000750,0.009250,0.000000,-0.046642,0.107542,0.016355
0.000750,0.009500,0.000000,-0.034124,0.099515,0.016595
0.000750,0.009750,0.000000,0.165040,0.068492,0.019053
0.000750,0.010000,0.000000,1.460408,0.000000,0.021516
0.001000,0.000000,0.000000,0.000000,0.000000,0.040212
0.001000,0.000250,0.000000,0.003132,0.000112,0.040260
0.001000,0.000500,0.000000,-0.000112,0.001568,0.040399
0.001000,0.000750,0.000000,-0.006872,0.005431,0.040617
0.001000,0.001000,0.000000,-0.016311,0.012530,0.040900
0.001000,0.001250,0.000000,-0.027500,0.023350,0.041209
0.001000,0.001500,0.000000,-0.039299,0.037902,0.041469
0.001000,0.001750,0.000000,-0.050445,0.055699,0.041570
0.001000,0.002000,0.000000,-0.059807,0.075909,0.041383
0.001000,0.002250,0.000000,-0.066611,0.097581,0.040785
0.001000,0.002500,0.000000,-0.070512,0.119831,0.039682
0.001000,0.002750,0.000000,-0.071528,0.141923,0.038025
0.001000,0.003000,0.000000,-0.069915,0.163272,0.035820
0.001000,0.003250,0.000000,-0.066047,0.183429,0.033125
0.001000,0.003500,0.000000,-0.060343,0.202050,0.030040
0.001000,0.003750,0.000000,-0.053211,0.218876,0.026695
0.001000,0.004000,0.000000,-0.045028,0.233716,0.023235
0.001000,0.004250,0.000000,-0.036129,0.246430,0.019804
0.001000,0.004500,0.000000,-0.026806,0.256922,0.016539
0.001000,0.004750,0.000000,-0.017313,0.265128,0.013559
0.001000,0.005000,0.000000,-0.007872,0.271012,0.010957
0.001000,0.005250,0.000000,0.001320,0.274559,0.008802
0.001000,0.005500,0.000000,0.010082,0.275777,0.007136
0.001000,0.005750,0.000000,0.018246,0.274693,0.005972
0.001000,0.006000,0.000000,0.025648,0.271356,0.005303
0.001000,0.006250,0.000000,0.032130,0.265841,0.005099
0.001000,0.006500,0.000000,0.037531,0.258258,0.005314
0.001000,0.006750,0.000000,0.041692,0.248756,0.005891
0.001000,0.007000,0.000000,0.044445,0.237530,0.006767
0.001000,0.007250,0.000000,0.045617,0.224836,0.007876
0.001000,0.007500,0.000000,0.045013,0.210989,0.009162
0.001000,0.007750,0.000000,0.042395,0.196370,0.010577
0.001000,0.008000,0.000000,0.037451,0.181407,0.012094
0.001000,0.008250,0.000000,0.029733,0.166544,0.013709
0.001000,0.008500,0.000000,0.018604,0.152146,0.015443
0.001000,0.008750,0.000000,0.003284,0.138346,0.017322
0.001000,0.009000,0.000000,-0.016335,0.124804,0.019331
0.001000,0.009250,0.000000,-0.034092,0.110291,0.021316
0.001000,0.009500,0.000000,-0.009383,0.090924,0.023119
0.001000,0.009750,0.000000,0.212200,0.054837,0.026275
0.001000,0.010000,0.000000,1.460408,0.000000,0.028582
0.001250,0.000000,0.000000,0.000000,0.000000,0.039754
0.001250,0.000250,0.000000,0.001781,0.000926,0.039824
0.001250,0.000500,0.000000,-0.003655,0.003900,0.039999
0.001250,0.000750,0.000000,-0.013524,0.009924,0.040232
0.001250,0.001000,0.000000,-0.026673,0.019729,0.040498
0.001250,0.001250,0.000000,-0.041707,0.033578,0.040740
0.001250,0.001500,0.000000,-0.056951,0.051124,0.040868
0.001250,0.001750,0.000000,-0.070722,0.071508,0.040761
0.001250,0.002000,0.000000,-0.081717,0.093660,0.040293
0.001250,0.002250,0.000000,-0.089213,0.116576,0.039357
0.001250,0.002500,0.000000,-0.093030,0.139442,0.037881
0.001250,0.002750,0.000000,-0.093363,0.161651,0.035846
0.001250,0.003000,0.000000,-0.090617,0.182758,0.033281
0.001250,0.003250,0.000000,-0.085284,0.202438,0.030263
0.001250,0.003500,0.000000,-0.077867,0.220458,0.026904
0.001250,0.003750,0.000000,-0.068843,0.236647,0.023341
0.001250,0.004000,0.000000,-0.058640,0.250889,0.019719
0.001250,0.004250,0.000000,-0.047632,0.263102,0.016180
0.001250,0.004500,0.000000,-0.036142,0.273237,0.012858
0.001250,0.004750,0.000000,-0.024448,0.281264,0.009866
0.001250,0.005000,0.000000,-0.012790,0.287173,0.007296
0.001250,0.005250,0.000000,-0.001380,0.290963,0.005211
0.001250,0.005500,0.000000,0.009587,0.292644,0.003654
0.001250,0.005750,0.000000,0.019932,0.292232,0.002640
0.001250,0.006000,0.000000,0.029474,0.289754,0.002161
0.001250,0.006250,0.000000,0.038034,0.285247,0.002192
0.001250,0.006500,0.000000,0.045425,0.278765,0.002692
0.001250,0.006750,0.000000,0.051452,0.270380,0.003606
0.001250,0.007000,0.000000,0.055906,0.260197,0.004876
0.001250,0.007250,0.000000,0.058563,0.248350,0.006442
